iter	RMSE
0	26.93659029
1	26.61219167
2	26.29051941
3	25.97944021
4	25.68512405
5	25.42207227
6	25.17047029
7	24.87288532
8	24.59704978
9	24.34584504
10	24.134215
11	23.90575095
12	23.6635325
13	23.45320099
14	23.26448065
15	23.06915669
16	22.86868005
17	22.6772529
18	22.51346791
19	22.32294834
20	22.1388522
21	21.93975774
22	21.78815778
23	21.62736865
24	21.47664323
25	21.32882773
26	21.2055211
27	21.0887035
28	20.94656582
29	20.79941401
30	20.70266402
31	20.57423704
32	20.45686868
33	20.33193112
34	20.21596083
35	20.08731497
36	20.00421579
37	19.8975524
38	19.79075031
39	19.70815077
40	19.62406161
41	19.51086036
42	19.42126912
43	19.32675201
44	19.24910869
45	19.15191743
46	19.06577163
47	19.01122928
48	18.94353598
49	18.89188632
50	18.83724374
51	18.76807889
52	18.70656125
53	18.63012704
54	18.56911867
55	18.51132201
56	18.45050408
57	18.38369733
58	18.32923219
59	18.2853442
60	18.20731614
61	18.14512996
62	18.07282148
63	18.03062704
64	17.95955122
65	17.89920404
66	17.85568087
67	17.80895468
68	17.75012024
69	17.70405214
70	17.66520774
71	17.61740973
72	17.56379388
73	17.5149383
74	17.46186984
75	17.41583867
76	17.37859921
77	17.34972222
78	17.31143972
79	17.27274899
80	17.23643402
81	17.18315321
82	17.12956712
83	17.08057342
84	17.02992299
85	16.98488196
86	16.9435872
87	16.9039918
88	16.86406043
89	16.81933467
90	16.76870152
91	16.72915644
92	16.6980291
93	16.6589494
94	16.63174653
95	16.59143238
96	16.54680542
97	16.5098614
98	16.48077461
99	16.45868859
100	16.42131965
101	16.37162236
102	16.33879714
103	16.29130258
104	16.26064644
105	16.22400771
106	16.19254919
107	16.16252248
108	16.13138132
109	16.11359761
110	16.07367216
111	16.03316845
112	15.99326868
113	15.935051
114	15.90645185
115	15.88576622
116	15.85385947
117	15.81648728
118	15.77735591
119	15.74138704
120	15.70939381
121	15.697944
122	15.67516775
123	15.65315095
124	15.63288332
125	15.61424553
126	15.5758305
127	15.53966217
128	15.51500744
129	15.49071763
130	15.45734392
131	15.44406612
132	15.42316188
133	15.39606505
134	15.35840378
135	15.32612532
136	15.30112134
137	15.2624521
138	15.25775352
139	15.22832596
140	15.21595799
141	15.19283135
142	15.1815838
143	15.15451521
144	15.11575916
145	15.08787272
146	15.07166634
147	15.03844978
148	15.02134348
149	15.00863047
150	14.97779163
151	14.93778716
152	14.91820496
153	14.90936743
154	14.89233008
155	14.86147092
156	14.8328758
157	14.81787087
158	14.80670251
159	14.7923902
160	14.76472165
161	14.73860712
162	14.71724026
163	14.70702272
164	14.69995907
165	14.68682775
166	14.6715777
167	14.65756128
168	14.61819566
169	14.59531212
170	14.58129101
171	14.55930762
172	14.52592611
173	14.51040131
174	14.50056568
